Crop // Variety,Block,Bed,Plan Field Year,Plan Field Week,Actual Field Week,Actual Field Date,Actual Bedft,Notes,Finished Harvesting
Okra // Carmine Splendor,JSS,1,2025,19,19,2025-05-07,100,,TRUE
Okra // Carmine Splendor,JSS,2,2025,19,19,2025-05-07,100,,TRUE
Okra // Jambalaya,JSS,3,2025,19,19,2025-05-07,100,,TRUE
Bitter Melon // Green Skin,HT3,8,2025,20,1,2025-01-01,0,CANCEL.  never started seeds.,TRUE
Cucumber // Corinto,HT3,5,2025,20,20,2025-05-15,100,,TRUE
Cucumber // Corinto,HT3,6,2025,20,20,2025-05-15,100,,TRUE
Cucumber // Corinto,HT3,7,2025,20,20,2025-05-15,100,,TRUE
Cucumber Pickling // Excelsior,HT3,8,2025,20,20,2025-05-15,100,,TRUE
Eggplant Asian // Ping Tung,A2,4,2025,20,22,2025-05-27,100,not pulling for week 21 planting.  ,FALSE
Eggplant Asian // Shinkasen,A2,4,2025,20,21,2025-05-20,100,,FALSE
Eggplant Italian Black // Gaudi,A2,5,2025,20,21,2025-05-20,200,,FALSE
Eggplant Italian Striped // Annina,A2,6,2025,20,21,2025-05-20,200,,TRUE
Eggplant Italian Striped // Annina,A2,7,2025,20,21,2025-05-20,200,,FALSE
Eggplant Mini // Fairytale,A2,8,2025,20,21,2025-05-20,200,,TRUE
Eggplant Mini // Fairytale,A2,9,2025,20,21,2025-05-20,200,,FALSE
Arugula // Astro,A3,15,2025,20,20,2025-05-15,100,,TRUE
Greens Mix Baby Kale // Red Russian Kale,A3,15,2025,20,20,2025-05-15,10,,TRUE
Greens Mix Cheap Frills // Cheap Frills,A3,15,2025,20,20,2025-05-15,60,,TRUE
Greens Mix Mizuna // Central Red,A3,15,2025,20,20,2025-05-15,10,,TRUE
Greens Mix Purslane // Golden ,A3,15,2025,20,20,2025-05-15,10,,TRUE
Greens Mix Tokyo Bekana // Tokyo Bekana,A3,15,2025,20,20,2025-05-15,10,,TRUE
Bok Choy // Little Shanghai,B2,9,2025,20,20,2025-05-13,200,,TRUE
Parsley // Giant of Italy,B3,20,2025,20,20,2025-05-15,200,,TRUE
Cilantro // Cruiser,B3,21,2025,20,20,2025-05-15,150,seeded 50 ft. of dill at the western end.  updated future seedings to be 150' cilantro and 50' dill.,TRUE
Scallion // Parade,B3,23,2025,20,20,2025-05-16,100,,TRUE
Collards // Flash,C1,22,2025,20,20,2025-05-13,200,,TRUE
Kale Curly // Winterbor,C1,23,2025,20,20,2025-05-13,200,,TRUE
Kale Curly // Winterbor,C1,24,2025,20,20,2025-05-13,200,,TRUE
Kale Lacinato // Ebony,C1,25,2025,20,20,2025-05-13,200,,TRUE
Kale Lacinato // Ebony,C1,26,2025,20,20,2025-05-13,200,,TRUE
Kale Lacinato // Ebony,C1,27,2025,20,20,2025-05-13,200,,TRUE
Kale Lacinato // Ebony,C1,28,2025,20,20,2025-05-13,200,,TRUE
Dandelion // Clio,D2,15,2025,20,20,2025-05-13,200,,TRUE
Escarole // Eliance,D2,16,2025,20,20,2025-05-13,110,filled with 15 feet of queen of hearts.,TRUE
Frisee // Curlesi,D2,16,2025,20,20,2025-05-13,75,,TRUE
Lettuce Head // Alkindus,D2,17,2025,20,20,2025-05-13,25,,TRUE
Lettuce Head // Monte Carlo,D2,17,2025,20,20,2025-05-13,50,,TRUE
Lettuce Head // Queen of Hearts,D2,17,2025,20,20,2025-05-13,25,,TRUE
Lettuce Mini Gem // Gatsbi,D2,17,2025,20,20,2025-05-13,25,,TRUE
Lettuce Mini Gem // Rosaine,D2,17,2025,20,20,2025-05-13,75,,TRUE
Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,D2,18,2025,20,20,2025-05-13,200,,TRUE
Pepper Carmen // Carmen,A2,10,2025,21,22,2025-05-28,200,,TRUE
Pepper Carmen // Carmen,A2,11,2025,21,22,2025-05-28,200,,TRUE
Pepper Carmen // Carmen,A2,12,2025,21,22,2025-05-28,200,,TRUE
Pepper Carmen // Carmen,A2,13,2025,21,22,2025-05-28,200,,FALSE
Pepper Carmen // Carmen,A2,14,2025,21,22,2025-05-28,100,added 100 ft carmen because we had the bed space and the plants,TRUE
Pepper Hot // Amazing,A2,14,2025,21,22,2025-05-28,50,,FALSE
Pepper Hot // Jedi Jalapeno,A2,14,2025,21,22,2025-05-28,50,,FALSE
Pepper Shishito // Shishimai,A2,15,2025,21,22,2025-05-28,200,,FALSE
Arugula // Astro,A3,16,2025,21,21,2025-05-21,100,added extra planting,TRUE
Greens Mix Baby Kale // Red Russian Kale,A3,16,2025,21,21,2025-05-21,10,,TRUE
Greens Mix Cheap Frills // Cheap Frills,A3,16,2025,21,21,2025-05-21,60,,TRUE
Greens Mix Mizuna // Central Red,A3,16,2025,21,21,2025-05-21,10,,TRUE
Greens Mix Purslane // Golden ,A3,16,2025,21,21,2025-05-21,10,,TRUE
Greens Mix Tokyo Bekana // Tokyo Bekana,A3,16,2025,21,21,2025-05-21,10,,TRUE
Cabbage Flat // Tendersweet,B2,1,2025,21,21,2025-05-20,200,,TRUE
Cabbage Flat // Tendersweet,B2,2,2025,21,21,2025-05-20,200,,TRUE
Basil // Prospera DMR CG1,B3,18,2025,21,21,2025-05-21,200,,TRUE
Celery // merengo,B3,19,2025,21,21,2025-05-20,200,,TRUE
Scallion // Parade,B3,23,2025,21,22,2025-05-26,100,field too wet for week 21 planting,TRUE
Beets Golden // Yellow Sunrise,C3,4,2025,21,21,2025-05-21,200,,TRUE
Beets Golden // Yellow Sunrise,C3,5,2025,21,21,2025-05-21,200,,TRUE
Radicchio Pink // Rosa Alba,D2,20,2024,NA,22,2024-06-01,200,2024 Bulk Harvest,TRUE
Beets Red // Red Ace F1,C3,6,2025,21,21,2025-05-21,200,,TRUE
Radicchio Round // Indigo,D2,22,2025,21,21,2025-05-21,200,,TRUE
Radicchio Variegated // Giorgine,D2,23,2025,21,21,2025-05-21,200,,TRUE
Zucchini Green // Noche,D3,19,2025,21,22,2025-05-28,200,"pushed all 1 week.  too cold, field not ready. ",TRUE
Zucchini Green // Noche,D3,20,2025,21,22,2025-05-28,200,,TRUE
Zucchini Green // Noche,D3,21,2025,21,22,2025-05-28,200,,TRUE
Zucchini Green // Noche,D3,22,2025,21,22,2025-05-28,200,,TRUE
Zucchini Striped // Pantheon,D3,25,2025,21,22,2025-05-28,200,,TRUE
Zucchini Yellow // Golden Glory,D3,26,2025,21,22,2025-05-28,200,,TRUE
Zucchini Yellow // Golden Glory,D3,23,2025,21,22,2025-05-28,200,,TRUE
Zucchini Yellow // Golden Glory,D3,24,2025,21,22,2025-05-28,200,,TRUE
Greens Mix Tokyo Bekana // Tokyo Bekana,A3,17,2025,22,1,2025-01-01,0,cancel.  had to skip the week and it was too late in the season to seed.,TRUE
Bok Choy // Little Shanghai,A3,17,2025,22,22,2025-05-30,200,did 4 inch spacing,TRUE
Greens Mix Baby Kale // Red Russian Kale,A3,18,2025,22,23,2025-06-06,10,,TRUE
Greens Mix Cheap Frills // Cheap Frills,A3,18,2025,22,23,2025-06-06,145,combined with week 23 frills,TRUE
Greens Mix Mizuna // Central Red,A3,18,2025,22,23,2025-06-06,10,,TRUE
Greens Mix Purslane // Golden ,A3,18,2025,22,23,2025-06-06,10,,TRUE
Cilantro // Cruiser,B3,17,2025,22,22,2025-05-30,150,,TRUE
Dill // Thalia,B3,17,2025,22,22,2025-05-30,50,,TRUE
Chard // Bright Lights,C1,29,2025,22,22,2025-05-29,200,,TRUE
Chard // Bright Lights,C1,30,2025,22,22,2025-05-29,200,,TRUE
Lettuce Head // Alkindus,D2,24,2025,22,22,2025-05-30,25,,TRUE
Lettuce Head // Monte Carlo,D2,24,2025,22,22,2025-05-30,25,,TRUE
Lettuce Head // Queen of Hearts,D2,24,2025,22,22,2025-05-30,25,,TRUE
Lettuce Mini Gem // Gatsbi,D2,24,2025,22,22,2025-05-30,50,,TRUE
Lettuce Mini Gem // Rosaine,D2,24,2025,22,22,2025-05-30,75,,TRUE
Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,D2,25,2025,22,22,2025-05-30,200,,TRUE
Collards // Flash,E1,1,2025,22,22,2025-05-30,200,,TRUE
Collards // Flash,E1,2,2025,22,22,2025-05-30,200,,FALSE
Kale Curly // Winterbor,E1,3,2025,22,22,2025-05-30,200,,TRUE
Kale Curly // Winterbor,E1,4,2025,22,22,2025-05-30,200,,TRUE
Kale Lacinato // Ebony,E1,5,2025,22,22,2025-05-30,200,,TRUE
Kale Lacinato // Ebony,E1,6,2025,22,22,2025-05-30,200,,TRUE
Kale Lacinato // Ebony,E1,7,2025,22,22,2025-05-30,200,,TRUE
Kale Lacinato // Ebony,E1,8,2025,22,22,2025-05-30,200,,FALSE
Sweet Potato Covington // Covington,X2,15,2025,22,23,2025-06-06,200,,FALSE
Sweet Potato Covington // Covington,X2,16,2025,22,23,2025-06-06,200,,TRUE
Sweet Potato Covington // Covington,X2,17,2025,22,23,2025-06-06,200,,TRUE
Sweet Potato Murasaki // Murasaki,X2,19,2025,22,23,2025-06-05,200,,FALSE
Sweet Potato Murasaki // Murasaki,X2,20,2025,22,23,2025-06-05,200,,TRUE
Sweet Potato Murasaki // Murasaki,X2,21,2025,22,23,2025-06-05,200,,TRUE
Sweet Potato Murasaki // Purple Majesty (Trial),X2,18,2025,22,23,2025-06-05,200,,FALSE
Sweet Potato Murasaki // Murasaki,X2,4,2025,22,1,2025-01-01,0,Cancel,TRUE
Greens Mix Amaranth // Polish,A3,18,2025,23,23,2025-06-06,25,,TRUE
Greens Mix Cheap Frills // Cheap Frills,A3,18,2025,23,1,2025-01-01,0,cancel. combined with week 22 seeding.,TRUE
Tomato Sauce // Tiren,A2,16,2025,24,25,2025-06-16,200,,FALSE
Greens Mix Amaranth // Polish,A3,18,2025,24,24,2025-06-13,25,,TRUE
Greens Mix Cheap Frills // Cheap Frills,A3,18,2025,24,24,2025-06-13,75,,TRUE
Bok Choy // Little Shanghai,A3,19,2025,24,24,2025-06-11,200,,TRUE
Cilantro // Cruiser,B3,14,2025,24,24,2025-06-13,150,,TRUE
Dill // Thalia,B3,14,2025,24,24,2025-06-13,50,,TRUE
Basil // Prospera DMR CG1,B3,15,2025,24,24,2025-06-11,200,,TRUE
Parsley // Giant of Italy,B3,16,2025,24,24,2025-06-11,200,,TRUE
Carrot // Naval F1,C3,8,2025,24,26,2025-06-27,200,,TRUE
Carrot // Naval F1,C3,9,2025,24,26,2025-06-27,200,,TRUE
Carrot // Naval F1,C3,7,2025,24,26,2025-06-27,200,,FALSE
Lettuce Head // Fusion,D2,26,2025,24,24,2025-06-11,37.5,,TRUE
Lettuce Head // Monte Carlo,D2,26,2025,24,24,2025-06-11,25,,TRUE
Lettuce Head // Muir,D2,26,2025,24,24,2025-06-11,37.5,,TRUE
Lettuce Head // Pomegranate Crunch,D2,26,2025,24,24,2025-06-11,25,,TRUE
Lettuce Head // Purple Fusion,D2,26,2025,24,24,2025-06-11,75,,TRUE
Lettuce Mix SN // (Summer) Foundation Mix + Batavia,D2,27,2025,24,24,2025-06-11,200,,TRUE
Chard // Bright Lights,E1,9,2025,24,25,2025-06-16,200,,FALSE
Kale Curly // Winterbor,E1,10,2025,24,25,2025-06-16,200,,TRUE
Kale Curly // Winterbor,E1,11,2025,24,25,2025-06-16,200,,FALSE
Kale Lacinato // Ebony,E1,12,2025,24,25,2025-06-16,200,,TRUE
Kale Lacinato // Ebony,E1,13,2025,24,25,2025-06-16,200,,TRUE
Kale Lacinato // Ebony,E1,14,2025,24,25,2025-06-16,200,,FALSE
Winter Squash Acorn // Night Shift,X2,13,2025,24,24,2025-06-11,200,,TRUE
Winter Squash Acorn // Night Shift,X2,12,2025,24,24,2025-06-11,200,,FALSE
Winter Squash Butternut // Waltham,X2,7,2025,24,24,2025-06-11,200,,TRUE
Winter Squash Butternut // Waltham,X2,6,2025,24,24,2025-06-11,200,,FALSE
Winter Squash Delicata // Delicata JS,X2,11,2025,24,24,2025-06-11,200,,FALSE
Winter Squash Delicata // Honeyboat,X2,10,2025,24,24,2025-06-11,200,,TRUE
Winter Squash Delicata // Honeyboat,X2,9,2025,24,24,2025-06-11,200,,FALSE
Winter Squash Kabocha // Black Futsu,X2,4,2025,24,24,2025-06-12,200,,TRUE
Winter Squash Kabocha // Tetsukabuto,X2,3,2025,24,24,2025-06-12,200,,TRUE
Winter Squash Kabocha // Tetsukabuto,X2,2,2025,24,24,2025-06-12,200,,FALSE
Winter Squash Honeynut // Honeynut,X3,30,2025,24,24,2025-06-12,200,,TRUE
Winter Squash Honeynut // Honeynut,X3,29,2025,24,24,2025-06-12,200,,FALSE
Winter Squash Koginut // Autumn Frost,X3,28,2025,24,24,2025-06-12,200,,TRUE
Greens Mix Amaranth // Polish,A3,20,2025,25,25,2025-06-20,25,,TRUE
Greens Mix Cheap Frills // Cheap Frills,A3,20,2025,25,25,2025-06-20,75,,TRUE
Cilantro // Cruiser,B3,13,2025,25,25,2025-06-20,150,,TRUE
Dill // Thalia,B3,13,2025,25,25,2025-06-20,50,,TRUE
Celery // merengo,B3,15,2025,25,28,2025-07-10,200,,FALSE
Greens Mix Amaranth // Polish,A3,21,2025,26,26,2025-06-27,25,,TRUE
Greens Mix Cheap Frills // Cheap Frills,A3,21,2025,26,26,2025-06-27,75,,TRUE
Parsley // Giant of Italy,B3,14,2025,26,28,2025-07-10,200,,FALSE
Lettuce Head // Fusion,D1,28,2025,26,27,2025-07-01,37.5,,FALSE
Lettuce Head // Monte Carlo,D1,28,2025,26,27,2025-07-01,25,,TRUE
Lettuce Head // Muir,D1,28,2025,26,27,2025-07-01,37.5,,TRUE
Lettuce Head // Pomegranate Crunch,D1,28,2025,26,27,2025-07-01,25,,TRUE
Lettuce Head // Purple Fusion,D1,28,2025,26,27,2025-07-01,75,,TRUE
Lettuce Mix SN // (Summer) Foundation Mix + Batavia,D2,27,2025,26,27,2025-07-01,200,,FALSE
Cauliflower Sprouting // Fioretto 70,X3,25,2025,26,27,2025-07-01,200,,FALSE
Greens Mix Amaranth // Polish,A3,21,2025,27,27,2025-07-04,25,,TRUE
Greens Mix Cheap Frills // Cheap Frills,A3,21,2025,27,27,2025-07-04,75,,TRUE
Basil // Prospera DMR CG1,B3,13,2025,27,28,2025-07-11,200,,FALSE
Carrot Bulk // Bolero,C3,11,2025,27,27,2025-07-04,200,,FALSE
Carrot Bulk // Bolero,C3,12,2025,27,27,2025-07-04,200,,TRUE
Carrot Bulk // Bolero,C3,13,2025,27,27,2025-07-04,200,,TRUE
Carrot Bulk // Bolero,C3,14,2025,27,27,2025-07-04,200,,TRUE
Carrot Bulk // Bolero,C3,15,2025,27,27,2025-07-04,200,,TRUE
Carrot Bulk // Bolero,C3,16,2025,27,27,2025-07-04,200,,TRUE
Carrot Bulk // Bolero,C3,17,2025,27,27,2025-07-04,200,,TRUE
Carrot Bulk // Bolero,C3,18,2025,27,27,2025-07-04,200,,TRUE
Carrot Bulk // Bolero,C3,19,2025,27,27,2025-07-04,200,,TRUE
Carrot Bulk // Bolero,C3,20,2025,27,27,2025-07-04,200,,TRUE
Carrot Bulk // Bolero,C3,10,2025,27,27,2025-07-04,200,,TRUE
Cauliflower // Denali,X3,24,2025,27,27,2025-07-02,200,,TRUE
Cauliflower // Denali,X3,23,2025,27,27,2025-07-02,200,,TRUE
Cauliflower // Denali,X3,22,2025,27,27,2025-07-02,200,,FALSE
Cauliflower // Lavender,X3,21,2025,27,27,2025-07-02,200,,TRUE
Cauliflower // Lavender,X3,20,2025,27,27,2025-07-02,200,,TRUE
Cauliflower // Lavender,X3,19,2025,27,27,2025-07-02,200,,TRUE
Cauliflower // Lavender,X3,18,2025,27,27,2025-07-02,200,,FALSE
Cauliflower // Puntaverde,X3,17,2025,27,27,2025-07-02,200,,TRUE
Cauliflower // Puntaverde,X3,16,2025,27,27,2025-07-02,200,,TRUE
Cauliflower // Puntaverde,X3,15,2025,27,27,2025-07-02,200,,TRUE
Cauliflower // Puntaverde,X3,14,2025,27,27,2025-07-02,200,,FALSE
Cauliflower // Skywalker,X3,13,2025,27,27,2025-07-02,200,,TRUE
Cauliflower // Skywalker,X3,12,2025,27,27,2025-07-02,200,,FALSE
Greens Mix Amaranth // Polish,A3,22,2025,28,29,2025-07-14,25,,TRUE
Greens Mix Cheap Frills // Cheap Frills,A3,22,2025,28,29,2025-07-14,75,,TRUE
Parsley // Giant of Italy,B3,11,2025,28,28,2025-07-11,200,,FALSE
Celery // merengo,B3,12,2025,28,28,2025-07-10,200,,FALSE
Cilantro // Cruiser,B3,9,2025,28,29,2025-07-14,200,,FALSE
Escarole // Eliance,D2,29,2025,28,29,2025-07-15,40,,FALSE
Lettuce Head // Alkindus,D2,29,2025,28,29,2025-07-15,40,,TRUE
Lettuce Head // Monte Carlo,D2,29,2025,28,29,2025-07-15,40,,TRUE
Lettuce Head // Queen of Hearts,D2,29,2025,28,29,2025-07-15,40,,TRUE
Lettuce Head // Truchas,D2,29,2025,28,29,2025-07-15,40,,TRUE
Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,D2,30,2025,28,29,2025-07-15,200,,FALSE
Bok Choy // Little Shanghai,E1,19,2025,28,29,2025-07-15,200,,FALSE
Broccolini // BC1611,E1,16,2025,28,28,2025-07-09,200,,TRUE
Broccolini // BC1611,E1,17,2025,28,28,2025-07-09,200,,TRUE
Broccolini // BC1611,E1,18,2025,28,28,2025-07-09,200,,TRUE
Broccolini // BC1611,E1,15,2025,28,28,2025-07-09,200,,FALSE
Brussels Sprouts // Dagan,X3,5,2025,28,29,2025-07-17,175,,TRUE
Brussels Sprouts // Dagan,X3,6,2025,28,29,2025-07-17,175,,TRUE
Brussels Sprouts // Dagan,X3,7,2025,28,29,2025-07-17,200,,TRUE
Brussels Sprouts // Dagan,X3,8,2025,28,29,2025-07-17,200,,TRUE
Brussels Sprouts // Dagan,X3,9,2025,28,29,2025-07-17,200,,FALSE
Cauliflower Sprouting // Fioretto 70,X3,3,2025,28,29,2025-07-17,125,,TRUE
Cauliflower Sprouting // Fioretto 70,X3,4,2025,28,29,2025-07-17,150,,FALSE
Cauliflower Sprouting // Murasaki Fioretto,X3,1,2025,28,29,2025-07-17,50,,TRUE
Cauliflower Sprouting // Murasaki Fioretto,X3,2,2025,28,29,2025-07-17,100,,FALSE
Greens Mix Amaranth // Polish,A3,22,2025,29,29,2025-07-18,25,,TRUE
Greens Mix Cheap Frills // Cheap Frills,A3,22,2025,29,29,2025-07-18,75,,TRUE
Puntarelle // Medusa,D1,5,2025,29,29,2025-07-16,200,,TRUE
Puntarelle // Medusa,D1,6,2025,29,29,2025-07-16,200,,FALSE
Radicchio Pink // Rosa Alba,D1,1,2025,29,29,2025-07-16,200,,TRUE
Radicchio Pink // Rosa Alba,D1,2,2025,29,29,2025-07-16,200,,TRUE
Radicchio Pink // Rosa Alba,D1,3,2025,29,29,2025-07-16,200,,TRUE
Radicchio Pink // Rosa Alba,D1,4,2025,29,29,2025-07-16,200,,FALSE
Lettuce Head // Alkindus,D2,29,2025,29,29,2025-07-15,0,combined with week 28 plantings,TRUE
Lettuce Head // Monte Carlo,D2,29,2025,29,29,2025-07-15,0,combined with week 28 plantings,TRUE
Lettuce Head // Queen of Hearts,D2,29,2025,29,29,2025-07-15,0,combined with week 28 plantings,TRUE
Lettuce Head // Truchas,D2,29,2025,29,29,2025-07-15,0,combined with week 28 plantings,TRUE
Cabbage Chinese // Merlot,Y1,1,2025,29,30,2025-07-23,200,,FALSE
Cabbage Chinese // Merlot,Y1,2,2025,29,30,2025-07-23,200,,TRUE
Cabbage Chinese // Minuet,Y1,3,2025,29,30,2025-07-23,200,,FALSE
Cabbage Cone // Caraflex,Y1,4,2025,29,30,2025-07-23,200,,FALSE
Cabbage Cone Storage // Murdoc,Y1,5,2025,29,30,2025-07-23,200,,FALSE
Cabbage Cone Storage // Murdoc,Y1,8,2025,29,30,2025-07-23,25,Ran out of Murdoc.  filled in with 175' promise.,TRUE
Cabbage Green Storage // Promise,Y1,8,2025,29,30,2025-07-23,175,,TRUE
Cabbage Green Storage // Promise,Y1,6,2025,29,30,2025-07-23,200,,TRUE
Cabbage Green Storage // Promise,Y1,7,2025,29,30,2025-07-23,200,,FALSE
Cabbage Red // Omero,Y1,9,2025,29,30,2025-07-23,200,,FALSE
Cabbage Red // Pink Cabbage Hybrid,Y1,10,2025,29,30,2025-07-24,200,,FALSE
Cabbage Red // Ruby Perfection,Y1,11,2025,29,30,2025-07-24,200,,TRUE
Cabbage Red // Ruby Perfection,Y1,12,2025,29,30,2025-07-24,200,,FALSE
Cabbage Savoy // Famosa,Y1,13,2025,29,30,2025-07-24,200,,TRUE
Cabbage Savoy // Famosa,Y1,14,2025,29,30,2025-07-24,200,,FALSE
Greens Mix Amaranth // Polish,A3,23,2025,30,30,2025-07-24,25,,TRUE
Greens Mix Cheap Frills // Cheap Frills,A3,23,2025,30,30,2025-07-24,75,,TRUE
Celery // merengo,B3,7,2025,30,31,2025-07-29,200,,FALSE
Cilantro // Cruiser,B3,8,2025,30,30,2025-07-24,200,,FALSE
Scallion // Parade,B3,6,2025,30,31,2025-07-28,100,,FALSE
Collards // Flash,C2,1,2025,30,30,2025-07-22,200,,TRUE
Collards // Flash,C2,2,2025,30,30,2025-07-22,200,,FALSE
Kale Curly // Winterbor,C2,3,2025,30,30,2025-07-22,200,,TRUE
Kale Curly // Winterbor,C2,4,2025,30,30,2025-07-22,200,,FALSE
Kale Lacinato // Ebony,C2,5,2025,30,30,2025-07-22,200,,TRUE
Kale Lacinato // Ebony,C2,6,2025,30,30,2025-07-22,200,,TRUE
Kale Lacinato // Ebony,C2,7,2025,30,30,2025-07-22,200,,TRUE
Kale Lacinato // Ebony,C2,8,2025,30,30,2025-07-22,200,,FALSE
Dandelion // Clio,D1,19,2025,30,31,2025-07-29,200,,FALSE
Escarole // Eliance,D1,18,2025,30,30,2025-07-25,100,,FALSE
Fennel // Orazio,D1,17,2025,30,30,2025-07-25,200,,FALSE
Frisee // Curlesi,D1,18,2025,30,31,2025-07-29,100,,FALSE
Lettuce Head // Alkindus,D1,20,2025,30,31,2025-07-29,20,combined with week 31 planting,TRUE
Lettuce Head // Monte Carlo,D1,20,2025,30,31,2025-07-29,25,combined with week 31 planting,TRUE
Lettuce Head // Queen of Hearts,D1,20,2025,30,31,2025-07-29,25,combined with week 31 planting,TRUE
Lettuce Head // Truchas,D1,20,2025,30,31,2025-07-29,30,combined with week 31 planting,TRUE
Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,D1,21,2025,30,31,2025-07-29,200,,FALSE
Radicchio Round // Indigo,D1,7,2025,30,30,2025-07-22,200,,FALSE
Radicchio Round // T&T,D1,8,2025,30,30,2025-07-22,200,,FALSE
Radicchio Round // Vasari,D1,9,2025,30,30,2025-07-22,200,,TRUE
Radicchio Round // Vasari,D1,10,2025,30,30,2025-07-22,200,,FALSE
Radicchio Treviso // Baldo ,D1,11,2025,30,30,2025-07-22,200,,FALSE
Radicchio Treviso // Regina Rosa,D1,12,2025,30,30,2025-07-22,200,,FALSE
Radicchio Treviso // Sangria,D1,13,2025,30,30,2025-07-25,200,,FALSE
Radicchio Variegated // Beatrice,D1,14,2025,30,30,2025-07-25,200,,FALSE
Radicchio Variegated // Giorgine,D1,16,2025,30,30,2025-07-25,200,125' Giorgine; 50' Mirabella; 25' Beatrice,TRUE
Radicchio Variegated // Mirabella,D1,15,2025,30,30,2025-07-25,200,,TRUE
Bok Choy // Little Shanghai,E1,20,2025,30,31,2025-07-29,200,,TRUE
Broccolini // BC1611,E1,21,2025,30,30,2025-07-23,200,,TRUE
Broccolini // BC1611,E1,22,2025,30,30,2025-07-23,200,,TRUE
Broccolini // BC1611,E1,23,2025,30,30,2025-07-23,200,,TRUE
Broccolini // BC1611,E1,24,2025,30,30,2025-07-23,200,,FALSE
Chard // Bright Lights,E1,25,2025,30,30,2025-07-24,200,,TRUE
Chard // Bright Lights,E1,26,2025,30,30,2025-07-24,200,,FALSE
Cauliflower Sprouting // Fioretto 70,Y1,15,2025,30,30,2025-07-24,200,,FALSE
Cauliflower Sprouting // Murasaki Fioretto,Y1,16,2025,30,30,2025-07-24,200,125' Mur Fio.  filled in with 30' Rose and 30' Fio,FALSE
Arugula // Astro,A3,22,2025,31,1,2025-01-01,,Cancel,TRUE
Greens Mix Baby Kale // Red Russian Kale,A3,22,2025,31,1,2025-01-01,,Cancel,TRUE
Greens Mix Cheap Frills // Cheap Frills,A3,22,2025,31,1,2025-01-01,,Cancel,TRUE
Greens Mix Rosie // Rosie,A3,22,2025,31,1,2025-01-01,,Cancel,TRUE
Radish French Breakfast // French Breakfast,A3,23,2025,31,1,2025-01-01,,Cancel,TRUE
Radish Purple // Bacchus,A3,23,2025,31,1,2025-01-01,,Cancel,TRUE
Radish Red // Sora,A3,24,2025,31,1,2025-01-01,,Cancel,TRUE
Scallion // Parade,B3,6,2025,31,31,2025-07-28,100,,FALSE
Beets Bulk Golden // Boldor,C3,22,2025,31,31,2025-07-30,200,,FALSE
Beets Bulk Golden // Boldor,C3,23,2025,31,31,2025-07-30,200,,TRUE
Beets Bulk Red // Boro F1,C3,24,2025,31,31,2025-07-30,200,,FALSE
Beets Bulk Red // Boro F1,C3,25,2025,31,31,2025-07-30,200,,TRUE
Lettuce Head // Alkindus,D1,7,2025,31,31,2025-07-29,20,combined with week 30 planting,TRUE
Lettuce Head // Monte Carlo,D1,7,2025,31,31,2025-07-29,25,combined with week 30 planting,TRUE
Lettuce Head // Queen of Hearts,D1,7,2025,31,31,2025-07-29,25,combined with week 30 planting,TRUE
Lettuce Head // Truchas,D1,7,2025,31,31,2025-07-29,30,combined with week 30 planting,TRUE
Radicchio Round // Leonardo,D1,19,2025,31,32,2025-08-05,200,,TRUE
Cabbage Chinese // Minuet,X3,7,2025,31,33,2025-08-13,200,,FALSE
Cilantro // Cruiser,A3,24,2025,32,34,2025-08-18,200,,FALSE
Greens Mix Baby Kale // Red Russian Kale,A3,24,2025,32,1,2025-01-01,,Cancel,TRUE
Greens Mix Cheap Frills // Cheap Frills,A3,24,2025,32,1,2025-01-01,,Cancel,TRUE
Greens Mix Rosie // Rosie,A3,24,2025,32,1,2025-01-01,,Cancel,TRUE
Scallion // Parade,B3,28,2025,32,33,2025-08-14,100,,FALSE
Chard // Bright Lights,C2,9,2025,32,34,2025-08-21,200,,FALSE
Chard // Bright Lights,C2,10,2025,32,34,2025-08-21,200,,TRUE
Collards // Flash,C2,11,2025,32,33,2025-08-13,200,,FALSE
Collards // Flash,C2,12,2025,32,33,2025-08-13,200,,TRUE
Kale Curly // Winterbor,C2,13,2025,32,33,2025-08-13,200,,FALSE
Kale Curly // Winterbor,C2,14,2025,32,33,2025-08-13,200,,TRUE
Kale Lacinato // Ebony,C2,15,2025,32,33,2025-08-13,200,,FALSE
Kale Lacinato // Ebony,C2,16,2025,32,33,2025-08-13,200,,TRUE
Kale Lacinato // Ebony,C2,17,2025,32,33,2025-08-13,200,,TRUE
Kale Lacinato // Ebony,C2,18,2025,32,33,2025-08-13,200,,TRUE
Kale Lacinato // Ebony,C2,19,2025,32,33,2025-08-13,200,,TRUE
Kale Lacinato // Ebony,C2,20,2025,32,33,2025-08-13,200,,TRUE
Dandelion // Clio,D1,20,2025,32,33,2025-08-13,200,,FALSE
Escarole // Eliance,D1,4,2025,32,33,2025-08-13,100,,FALSE
Fennel // Orazio,D1,21,2025,32,33,2025-08-13,200,,FALSE
Frisee // Curlesi,D1,6,2025,32,33,2025-08-13,100,,FALSE
Lettuce Head // Alkindus,D1,22,2025,32,33,2025-08-13,25,,FALSE
Lettuce Head // Monte Carlo,D1,22,2025,32,33,2025-08-13,25,,TRUE
