Planting ID,Walk Date,Condition,Yield Adjust %,Notes,Crop // Variety,Block,Bed,Plan Field Year,Plan Field Week
,2025-05-15,Good,100,,Parsley // Giant of Italy,B3,20,2025,20
,2025-05-15,Good,100,seeded 50 ft. of dill at the western end.  updated future seedings to be 150' cilantro and 50' dill.,Cilantro // Cruiser,B3,21,2025,20
,2025-05-16,Good,100,,Scallion // Parade,B3,23,2025,20
,2025-05-13,Good,100,,Collards // Flash,C1,22,2025,20
,2025-05-13,Good,100,,Kale Curly // Winterbor,C1,23,2025,20
,2025-05-13,Good,100,,Kale Curly // Winterbor,C1,24,2025,20
,2025-05-13,Good,100,,Kale Lacinato // Ebony,C1,25,2025,20
,2025-05-13,Good,100,,Kale Lacinato // Ebony,C1,26,2025,20
,2025-05-13,Good,100,,Kale Lacinato // Ebony,C1,27,2025,20
,2025-05-13,Good,100,,Kale Lacinato // Ebony,C1,28,2025,20
,2025-05-13,Good,100,,Dandelion // Clio,D2,15,2025,20
,2025-05-13,Good,100,filled with 15 feet of queen of hearts.,Escarole // Eliance,D2,16,2025,20
,2025-05-13,Good,100,,Frisee // Curlesi,D2,16,2025,20
,2025-05-13,Good,100,,Lettuce Head // Alkindus,D2,17,2025,20
,2025-05-13,Good,100,,Lettuce Head // Monte Carlo,D2,17,2025,20
,2025-05-13,Good,100,,Lettuce Head // Queen of Hearts,D2,17,2025,20
,2025-05-13,Good,100,,Lettuce Mini Gem // Gatsbi,D2,17,2025,20
,2025-05-13,Good,100,,Lettuce Mini Gem // Rosaine,D2,17,2025,20
,2025-05-13,Good,100,,Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,D2,18,2025,20
,2025-05-28,Good,100,,Pepper Carmen // Carmen,A2,10,2025,21
,2025-05-28,Good,100,,Pepper Carmen // Carmen,A2,11,2025,21
,2025-05-28,Good,100,,Pepper Carmen // Carmen,A2,12,2025,21
,2025-05-28,Good,100,,Pepper Carmen // Carmen,A2,13,2025,21
,2025-05-28,Good,100,added 100 ft carmen because we had the bed space and the plants,Pepper Carmen // Carmen,A2,14,2025,21
,2025-05-28,Good,100,,Pepper Hot // Amazing,A2,14,2025,21
,2025-05-28,Good,100,,Pepper Hot // Jedi Jalapeno,A2,14,2025,21
,2025-05-28,Good,100,,Pepper Shishito // Shishimai,A2,15,2025,21
,2025-05-21,Good,100,added extra planting,Arugula // Astro,A3,16,2025,21
,2025-05-21,Good,100,,Greens Mix Baby Kale // Red Russian Kale,A3,16,2025,21
,2025-05-21,Good,100,,Greens Mix Cheap Frills // Cheap Frills,A3,16,2025,21
,2025-05-21,Good,100,,Greens Mix Mizuna // Central Red,A3,16,2025,21
,2025-05-21,Good,100,,Greens Mix Purslane // Golden ,A3,16,2025,21
,2025-05-21,Good,100,,Greens Mix Tokyo Bekana // Tokyo Bekana,A3,16,2025,21
,2025-05-20,Good,100,,Cabbage Flat // Tendersweet,B2,1,2025,21
,2025-05-20,Good,100,,Cabbage Flat // Tendersweet,B2,2,2025,21
,2025-05-21,Good,100,,Basil // Prospera DMR CG1,B3,18,2025,21
,2025-05-20,Good,100,,Celery // merengo,B3,19,2025,21
,2025-05-26,Good,100,field too wet for week 21 planting,Scallion // Parade,B3,23,2025,21
,2025-05-21,Good,100,,Beets Golden // Yellow Sunrise,C3,4,2025,21
,2025-05-21,Good,100,,Beets Golden // Yellow Sunrise,C3,5,2025,21
,2024-06-01,Good,100,2024 Bulk Harvest,Radicchio Pink // Rosa Alba,D2,20,2024,NA
,2025-05-21,Good,100,,Beets Red // Red Ace F1,C3,6,2025,21
,2025-05-21,Good,100,,Radicchio Round // Indigo,D2,22,2025,21
,2025-05-21,Good,100,,Radicchio Variegated // Giorgine,D2,23,2025,21
,2025-05-28,Good,100,"pushed all 1 week.  too cold, field not ready. ",Zucchini Green // Noche,D3,19,2025,21
,2025-05-28,Good,100,,Zucchini Green // Noche,D3,20,2025,21
,2025-05-28,Good,100,,Zucchini Green // Noche,D3,21,2025,21
,2025-05-28,Good,100,,Zucchini Green // Noche,D3,22,2025,21
,2025-05-28,Good,100,,Zucchini Striped // Pantheon,D3,25,2025,21
,2025-05-28,Good,100,,Zucchini Yellow // Golden Glory,D3,26,2025,21
,2025-05-28,Good,100,,Zucchini Yellow // Golden Glory,D3,23,2025,21
,2025-05-28,Good,100,,Zucchini Yellow // Golden Glory,D3,24,2025,21
,2025-01-01,Good,100,cancel.  had to skip the week and it was too late in the season to seed.,Greens Mix Tokyo Bekana // Tokyo Bekana,A3,17,2025,22
,2025-05-30,Good,100,did 4 inch spacing,Bok Choy // Little Shanghai,A3,17,2025,22
,2025-06-06,Good,100,,Greens Mix Baby Kale // Red Russian Kale,A3,18,2025,22
,2025-06-06,Good,100,combined with week 23 frills,Greens Mix Cheap Frills // Cheap Frills,A3,18,2025,22
,2025-06-06,Good,100,,Greens Mix Mizuna // Central Red,A3,18,2025,22
,2025-06-06,Good,100,,Greens Mix Purslane // Golden ,A3,18,2025,22
,2025-05-30,Good,100,,Cilantro // Cruiser,B3,17,2025,22
,2025-05-30,Good,100,,Dill // Thalia,B3,17,2025,22
,2025-05-29,Good,100,,Chard // Bright Lights,C1,29,2025,22
,2025-05-29,Good,100,,Chard // Bright Lights,C1,30,2025,22
,2025-05-30,Good,100,,Lettuce Head // Alkindus,D2,24,2025,22
,2025-05-30,Good,100,,Lettuce Head // Monte Carlo,D2,24,2025,22
,2025-05-30,Good,100,,Lettuce Head // Queen of Hearts,D2,24,2025,22
,2025-05-30,Good,100,,Lettuce Mini Gem // Gatsbi,D2,24,2025,22
,2025-05-30,Good,100,,Lettuce Mini Gem // Rosaine,D2,24,2025,22
,2025-05-30,Good,100,,Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,D2,25,2025,22
,2025-05-30,Good,100,,Collards // Flash,E1,1,2025,22
,2025-05-30,Good,100,,Collards // Flash,E1,2,2025,22
,2025-05-30,Good,100,,Kale Curly // Winterbor,E1,3,2025,22
,2025-05-30,Good,100,,Kale Curly // Winterbor,E1,4,2025,22
,2025-05-30,Good,100,,Kale Lacinato // Ebony,E1,5,2025,22
,2025-05-30,Good,100,,Kale Lacinato // Ebony,E1,6,2025,22
,2025-05-30,Good,100,,Kale Lacinato // Ebony,E1,7,2025,22
,2025-05-30,Good,100,,Kale Lacinato // Ebony,E1,8,2025,22
,2025-06-06,Good,100,,Sweet Potato Covington // Covington,X2,15,2025,22
,2025-06-06,Good,100,,Sweet Potato Covington // Covington,X2,16,2025,22
,2025-06-06,Good,100,,Sweet Potato Covington // Covington,X2,17,2025,22
,2025-06-05,Good,100,,Sweet Potato Murasaki // Murasaki,X2,19,2025,22
,2025-06-05,Good,100,,Sweet Potato Murasaki // Murasaki,X2,20,2025,22
,2025-06-05,Good,100,,Sweet Potato Murasaki // Murasaki,X2,21,2025,22
,2025-06-05,Good,100,,Sweet Potato Murasaki // Purple Majesty (Trial),X2,18,2025,22
,2025-01-01,Good,100,Cancel,Sweet Potato Murasaki // Murasaki,X2,4,2025,22
,2025-06-06,Good,100,,Greens Mix Amaranth // Polish,A3,18,2025,23
,2025-01-01,Good,100,cancel. combined with week 22 seeding.,Greens Mix Cheap Frills // Cheap Frills,A3,18,2025,23
,2025-06-16,Good,100,,Tomato Sauce // Tiren,A2,16,2025,24
,2025-06-13,Good,100,,Greens Mix Amaranth // Polish,A3,18,2025,24
,2025-06-13,Good,100,,Greens Mix Cheap Frills // Cheap Frills,A3,18,2025,24
,2025-06-11,Good,100,,Bok Choy // Little Shanghai,A3,19,2025,24
,2025-06-13,Good,100,,Cilantro // Cruiser,B3,14,2025,24
,2025-06-13,Good,100,,Dill // Thalia,B3,14,2025,24
,2025-06-11,Good,100,,Basil // Prospera DMR CG1,B3,15,2025,24
,2025-06-11,Good,100,,Parsley // Giant of Italy,B3,16,2025,24
,2025-06-27,Good,100,,Carrot // Naval F1,C3,8,2025,24
,2025-06-27,Good,100,,Carrot // Naval F1,C3,9,2025,24
,2025-06-27,Good,100,,Carrot // Naval F1,C3,7,2025,24
,2025-06-11,Good,100,,Lettuce Head // Fusion,D2,26,2025,24
,2025-06-11,Good,100,,Lettuce Head // Monte Carlo,D2,26,2025,24
,2025-06-11,Good,100,,Lettuce Head // Muir,D2,26,2025,24
,2025-06-11,Good,100,,Lettuce Head // Pomegranate Crunch,D2,26,2025,24
,2025-06-11,Good,100,,Lettuce Head // Purple Fusion,D2,26,2025,24
,2025-06-11,Good,100,,Lettuce Mix SN // (Summer) Foundation Mix + Batavia,D2,27,2025,24
,2025-06-16,Good,100,,Chard // Bright Lights,E1,9,2025,24
,2025-06-16,Good,100,,Kale Curly // Winterbor,E1,10,2025,24
,2025-06-16,Good,100,,Kale Curly // Winterbor,E1,11,2025,24
,2025-06-16,Good,100,,Kale Lacinato // Ebony,E1,12,2025,24
,2025-06-16,Good,100,,Kale Lacinato // Ebony,E1,13,2025,24
,2025-06-16,Good,100,,Kale Lacinato // Ebony,E1,14,2025,24
,2025-06-11,Good,100,,Winter Squash Acorn // Night Shift,X2,13,2025,24
,2025-06-11,Good,100,,Winter Squash Acorn // Night Shift,X2,12,2025,24
,2025-06-11,Good,100,,Winter Squash Butternut // Waltham,X2,7,2025,24
,2025-06-11,Good,100,,Winter Squash Butternut // Waltham,X2,6,2025,24
,2025-06-11,Good,100,,Winter Squash Delicata // Delicata JS,X2,11,2025,24
,2025-06-11,Good,100,,Winter Squash Delicata // Honeyboat,X2,10,2025,24
,2025-06-11,Good,100,,Winter Squash Delicata // Honeyboat,X2,9,2025,24
,2025-06-12,Good,100,,Winter Squash Kabocha // Black Futsu,X2,4,2025,24
,2025-06-12,Good,100,,Winter Squash Kabocha // Tetsukabuto,X2,3,2025,24
,2025-06-12,Good,100,,Winter Squash Kabocha // Tetsukabuto,X2,2,2025,24
,2025-06-12,Good,100,,Winter Squash Honeynut // Honeynut,X3,30,2025,24
,2025-06-12,Good,100,,Winter Squash Honeynut // Honeynut,X3,29,2025,24
,2025-06-12,Good,100,,Winter Squash Koginut // Autumn Frost,X3,28,2025,24
,2025-06-20,Good,100,,Greens Mix Amaranth // Polish,A3,20,2025,25
,2025-06-20,Good,100,,Greens Mix Cheap Frills // Cheap Frills,A3,20,2025,25
,2025-06-20,Good,100,,Cilantro // Cruiser,B3,13,2025,25
,2025-06-20,Good,100,,Dill // Thalia,B3,13,2025,25
,2025-07-10,Good,100,,Celery // merengo,B3,15,2025,25
,2025-06-27,Good,100,,Greens Mix Amaranth // Polish,A3,21,2025,26
,2025-06-27,Good,100,,Greens Mix Cheap Frills // Cheap Frills,A3,21,2025,26
,2025-07-10,Good,100,,Parsley // Giant of Italy,B3,14,2025,26
,2025-07-01,Good,100,,Lettuce Head // Fusion,D1,28,2025,26
,2025-07-01,Good,100,,Lettuce Head // Monte Carlo,D1,28,2025,26
,2025-07-01,Good,100,,Lettuce Head // Muir,D1,28,2025,26
,2025-07-01,Good,100,,Lettuce Head // Pomegranate Crunch,D1,28,2025,26
,2025-07-01,Good,100,,Lettuce Head // Purple Fusion,D1,28,2025,26
,2025-07-01,Good,100,,Lettuce Mix SN // (Summer) Foundation Mix + Batavia,D2,27,2025,26
,2025-07-01,Good,100,,Cauliflower Sprouting // Fioretto 70,X3,25,2025,26
,2025-07-04,Good,100,,Greens Mix Amaranth // Polish,A3,21,2025,27
,2025-07-04,Good,100,,Greens Mix Cheap Frills // Cheap Frills,A3,21,2025,27
,2025-07-11,Good,100,,Basil // Prospera DMR CG1,B3,13,2025,27
,2025-07-04,Good,100,,Carrot Bulk // Bolero,C3,11,2025,27
,2025-07-04,Good,100,,Carrot Bulk // Bolero,C3,12,2025,27
,2025-07-04,Good,100,,Carrot Bulk // Bolero,C3,13,2025,27
,2025-07-04,Good,100,,Carrot Bulk // Bolero,C3,14,2025,27
,2025-07-04,Good,100,,Carrot Bulk // Bolero,C3,15,2025,27
,2025-07-04,Good,100,,Carrot Bulk // Bolero,C3,16,2025,27
,2025-07-04,Good,100,,Carrot Bulk // Bolero,C3,17,2025,27
,2025-07-04,Good,100,,Carrot Bulk // Bolero,C3,18,2025,27
,2025-07-04,Good,100,,Carrot Bulk // Bolero,C3,19,2025,27
,2025-07-04,Good,100,,Carrot Bulk // Bolero,C3,20,2025,27
,2025-07-04,Good,100,,Carrot Bulk // Bolero,C3,10,2025,27
,2025-07-02,Good,100,,Cauliflower // Denali,X3,24,2025,27
,2025-07-02,Good,100,,Cauliflower // Denali,X3,23,2025,27
,2025-07-02,Good,100,,Cauliflower // Denali,X3,22,2025,27
,2025-07-02,Good,100,,Cauliflower // Lavender,X3,21,2025,27
,2025-07-02,Good,100,,Cauliflower // Lavender,X3,20,2025,27
,2025-07-02,Good,100,,Cauliflower // Lavender,X3,19,2025,27
,2025-07-02,Good,100,,Cauliflower // Lavender,X3,18,2025,27
,2025-07-02,Good,100,,Cauliflower // Puntaverde,X3,17,2025,27
,2025-07-02,Good,100,,Cauliflower // Puntaverde,X3,16,2025,27
,2025-07-02,Good,100,,Cauliflower // Puntaverde,X3,15,2025,27
,2025-07-02,Good,100,,Cauliflower // Puntaverde,X3,14,2025,27
,2025-07-02,Good,100,,Cauliflower // Skywalker,X3,13,2025,27
,2025-07-02,Good,100,,Cauliflower // Skywalker,X3,12,2025,27
,2025-07-14,Good,100,,Greens Mix Amaranth // Polish,A3,22,2025,28
,2025-07-14,Good,100,,Greens Mix Cheap Frills // Cheap Frills,A3,22,2025,28
,2025-07-11,Good,100,,Parsley // Giant of Italy,B3,11,2025,28
,2025-07-10,Good,100,,Celery // merengo,B3,12,2025,28
,2025-07-14,Good,100,,Cilantro // Cruiser,B3,9,2025,28
,2025-07-15,Good,100,,Escarole // Eliance,D2,29,2025,28
,2025-07-15,Good,100,,Lettuce Head // Alkindus,D2,29,2025,28
,2025-07-15,Good,100,,Lettuce Head // Monte Carlo,D2,29,2025,28
,2025-07-15,Good,100,,Lettuce Head // Queen of Hearts,D2,29,2025,28
,2025-07-15,Good,100,,Lettuce Head // Truchas,D2,29,2025,28
,2025-07-15,Good,100,,Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,D2,30,2025,28
,2025-07-15,Good,100,,Bok Choy // Little Shanghai,E1,19,2025,28
,2025-07-09,Good,100,,Broccolini // BC1611,E1,16,2025,28
,2025-07-09,Good,100,,Broccolini // BC1611,E1,17,2025,28
,2025-07-09,Good,100,,Broccolini // BC1611,E1,18,2025,28
,2025-07-09,Good,100,,Broccolini // BC1611,E1,15,2025,28
,2025-07-17,Good,100,,Brussels Sprouts // Dagan,X3,5,2025,28
,2025-07-17,Good,100,,Brussels Sprouts // Dagan,X3,6,2025,28
,2025-07-17,Good,100,,Brussels Sprouts // Dagan,X3,7,2025,28
,2025-07-17,Good,100,,Brussels Sprouts // Dagan,X3,8,2025,28
,2025-07-17,Good,100,,Brussels Sprouts // Dagan,X3,9,2025,28
,2025-07-17,Good,100,,Cauliflower Sprouting // Fioretto 70,X3,3,2025,28
,2025-07-17,Good,100,,Cauliflower Sprouting // Fioretto 70,X3,4,2025,28
,2025-07-17,Good,100,,Cauliflower Sprouting // Murasaki Fioretto,X3,1,2025,28
,2025-07-17,Good,100,,Cauliflower Sprouting // Murasaki Fioretto,X3,2,2025,28
,2025-07-18,Good,100,,Greens Mix Amaranth // Polish,A3,22,2025,29
,2025-07-18,Good,100,,Greens Mix Cheap Frills // Cheap Frills,A3,22,2025,29
,2025-07-16,Good,100,,Puntarelle // Medusa,D1,5,2025,29
,2025-07-16,Good,100,,Puntarelle // Medusa,D1,6,2025,29
,2025-07-16,Good,100,,Radicchio Pink // Rosa Alba,D1,1,2025,29
,2025-07-16,Good,100,,Radicchio Pink // Rosa Alba,D1,2,2025,29
,2025-07-16,Good,100,,Radicchio Pink // Rosa Alba,D1,3,2025,29
,2025-07-16,Good,100,,Radicchio Pink // Rosa Alba,D1,4,2025,29
,2025-07-15,Good,100,combined with week 28 plantings,Lettuce Head // Alkindus,D2,29,2025,29
,2025-07-15,Good,100,combined with week 28 plantings,Lettuce Head // Monte Carlo,D2,29,2025,29
,2025-07-15,Good,100,combined with week 28 plantings,Lettuce Head // Queen of Hearts,D2,29,2025,29
,2025-07-15,Good,100,combined with week 28 plantings,Lettuce Head // Truchas,D2,29,2025,29
,2025-07-23,Good,100,,Cabbage Chinese // Merlot,Y1,1,2025,29
,2025-07-23,Good,100,,Cabbage Chinese // Merlot,Y1,2,2025,29
,2025-07-23,Good,100,,Cabbage Chinese // Minuet,Y1,3,2025,29
,2025-07-23,Good,100,,Cabbage Cone // Caraflex,Y1,4,2025,29
,2025-07-23,Good,100,,Cabbage Cone Storage // Murdoc,Y1,5,2025,29
,2025-07-23,Good,100,Ran out of Murdoc.  filled in with 175' promise.,Cabbage Cone Storage // Murdoc,Y1,8,2025,29
,2025-07-23,Good,100,,Cabbage Green Storage // Promise,Y1,8,2025,29
,2025-07-23,Good,100,,Cabbage Green Storage // Promise,Y1,6,2025,29
,2025-07-23,Good,100,,Cabbage Green Storage // Promise,Y1,7,2025,29
,2025-07-23,Good,100,,Cabbage Red // Omero,Y1,9,2025,29
,2025-07-24,Good,100,,Cabbage Red // Pink Cabbage Hybrid,Y1,10,2025,29
,2025-07-24,Good,100,,Cabbage Red // Ruby Perfection,Y1,11,2025,29
,2025-07-24,Good,100,,Cabbage Red // Ruby Perfection,Y1,12,2025,29
,2025-07-24,Good,100,,Cabbage Savoy // Famosa,Y1,13,2025,29
,2025-07-24,Good,100,,Cabbage Savoy // Famosa,Y1,14,2025,29
,2025-07-24,Good,100,,Greens Mix Amaranth // Polish,A3,23,2025,30
,2025-07-24,Good,100,,Greens Mix Cheap Frills // Cheap Frills,A3,23,2025,30
,2025-07-29,Good,100,,Celery // merengo,B3,7,2025,30
,2025-07-24,Good,100,,Cilantro // Cruiser,B3,8,2025,30
,2025-07-28,Good,100,,Scallion // Parade,B3,6,2025,30
,2025-07-22,Good,100,,Collards // Flash,C2,1,2025,30
,2025-07-22,Good,100,,Collards // Flash,C2,2,2025,30
,2025-07-22,Good,100,,Kale Curly // Winterbor,C2,3,2025,30
,2025-07-22,Good,100,,Kale Curly // Winterbor,C2,4,2025,30
,2025-07-22,Good,100,,Kale Lacinato // Ebony,C2,5,2025,30
,2025-07-22,Good,100,,Kale Lacinato // Ebony,C2,6,2025,30
,2025-07-22,Good,100,,Kale Lacinato // Ebony,C2,7,2025,30
,2025-07-22,Good,100,,Kale Lacinato // Ebony,C2,8,2025,30
,2025-07-29,Good,100,,Dandelion // Clio,D1,19,2025,30
,2025-07-25,Good,100,,Escarole // Eliance,D1,18,2025,30
,2025-07-25,Good,100,,Fennel // Orazio,D1,17,2025,30
,2025-07-29,Good,100,,Frisee // Curlesi,D1,18,2025,30
,2025-07-29,Good,100,combined with week 31 planting,Lettuce Head // Alkindus,D1,20,2025,30
,2025-07-29,Good,100,combined with week 31 planting,Lettuce Head // Monte Carlo,D1,20,2025,30
,2025-07-29,Good,100,combined with week 31 planting,Lettuce Head // Queen of Hearts,D1,20,2025,30
,2025-07-29,Good,100,combined with week 31 planting,Lettuce Head // Truchas,D1,20,2025,30
,2025-07-29,Good,100,,Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,D1,21,2025,30
,2025-07-22,Good,100,,Radicchio Round // Indigo,D1,7,2025,30
,2025-07-22,Good,100,,Radicchio Round // T&T,D1,8,2025,30
,2025-07-22,Good,100,,Radicchio Round // Vasari,D1,9,2025,30
,2025-07-22,Good,100,,Radicchio Round // Vasari,D1,10,2025,30
,2025-07-22,Good,100,,Radicchio Treviso // Baldo ,D1,11,2025,30
,2025-07-22,Good,100,,Radicchio Treviso // Regina Rosa,D1,12,2025,30
,2025-07-25,Good,100,,Radicchio Treviso // Sangria,D1,13,2025,30
,2025-07-25,Good,100,,Radicchio Variegated // Beatrice,D1,14,2025,30
,2025-07-25,Good,100,125' Giorgine; 50' Mirabella; 25' Beatrice,Radicchio Variegated // Giorgine,D1,16,2025,30
,2025-07-25,Good,100,,Radicchio Variegated // Mirabella,D1,15,2025,30
,2025-07-29,Good,100,,Bok Choy // Little Shanghai,E1,20,2025,30
,2025-07-23,Good,100,,Broccolini // BC1611,E1,21,2025,30
,2025-07-23,Good,100,,Broccolini // BC1611,E1,22,2025,30
,2025-07-23,Good,100,,Broccolini // BC1611,E1,23,2025,30
,2025-07-23,Good,100,,Broccolini // BC1611,E1,24,2025,30
,2025-07-24,Good,100,,Chard // Bright Lights,E1,25,2025,30
,2025-07-24,Good,100,,Chard // Bright Lights,E1,26,2025,30
,2025-07-24,Good,100,,Cauliflower Sprouting // Fioretto 70,Y1,15,2025,30
,2025-07-24,Good,100,125' Mur Fio.  filled in with 30' Rose and 30' Fio,Cauliflower Sprouting // Murasaki Fioretto,Y1,16,2025,30
,2025-01-01,Good,100,Cancel,Arugula // Astro,A3,22,2025,31
,2025-01-01,Good,100,Cancel,Greens Mix Baby Kale // Red Russian Kale,A3,22,2025,31
,2025-01-01,Good,100,Cancel,Greens Mix Cheap Frills // Cheap Frills,A3,22,2025,31
,2025-01-01,Good,100,Cancel,Greens Mix Rosie // Rosie,A3,22,2025,31
,2025-01-01,Good,100,Cancel,Radish French Breakfast // French Breakfast,A3,23,2025,31
,2025-01-01,Good,100,Cancel,Radish Purple // Bacchus,A3,23,2025,31
,2025-01-01,Good,100,Cancel,Radish Red // Sora,A3,24,2025,31
,2025-07-28,Good,100,,Scallion // Parade,B3,6,2025,31
,2025-07-30,Good,100,,Beets Bulk Golden // Boldor,C3,22,2025,31
,2025-07-30,Good,100,,Beets Bulk Golden // Boldor,C3,23,2025,31
,2025-07-30,Good,100,,Beets Bulk Red // Boro F1,C3,24,2025,31
,2025-07-30,Good,100,,Beets Bulk Red // Boro F1,C3,25,2025,31
,2025-07-29,Good,100,combined with week 30 planting,Lettuce Head // Alkindus,D1,7,2025,31
,2025-07-29,Good,100,combined with week 30 planting,Lettuce Head // Monte Carlo,D1,7,2025,31
,2025-07-29,Good,100,combined with week 30 planting,Lettuce Head // Queen of Hearts,D1,7,2025,31
,2025-07-29,Good,100,combined with week 30 planting,Lettuce Head // Truchas,D1,7,2025,31
,2025-08-05,Good,100,,Radicchio Round // Leonardo,D1,19,2025,31
,2025-08-13,Good,100,,Cabbage Chinese // Minuet,X3,7,2025,31
,2025-08-18,Good,100,,Cilantro // Cruiser,A3,24,2025,32
,2025-01-01,Good,100,Cancel,Greens Mix Baby Kale // Red Russian Kale,A3,24,2025,32
,2025-01-01,Good,100,Cancel,Greens Mix Cheap Frills // Cheap Frills,A3,24,2025,32
,2025-01-01,Good,100,Cancel,Greens Mix Rosie // Rosie,A3,24,2025,32
,2025-08-14,Good,100,,Scallion // Parade,B3,28,2025,32
,2025-08-21,Good,100,,Chard // Bright Lights,C2,9,2025,32
,2025-08-21,Good,100,,Chard // Bright Lights,C2,10,2025,32
,2025-08-13,Good,100,,Collards // Flash,C2,11,2025,32
,2025-08-13,Good,100,,Collards // Flash,C2,12,2025,32
,2025-08-13,Good,100,,Kale Curly // Winterbor,C2,13,2025,32
,2025-08-13,Good,100,,Kale Curly // Winterbor,C2,14,2025,32
,2025-08-13,Good,100,,Kale Lacinato // Ebony,C2,15,2025,32
,2025-08-13,Good,100,,Kale Lacinato // Ebony,C2,16,2025,32
,2025-08-13,Good,100,,Kale Lacinato // Ebony,C2,17,2025,32
,2025-08-13,Good,100,,Kale Lacinato // Ebony,C2,18,2025,32
,2025-08-13,Good,100,,Kale Lacinato // Ebony,C2,19,2025,32
,2025-08-13,Good,100,,Kale Lacinato // Ebony,C2,20,2025,32
,2025-08-13,Good,100,,Dandelion // Clio,D1,20,2025,32
,2025-08-13,Good,100,,Escarole // Eliance,D1,4,2025,32
,2025-08-13,Good,100,,Fennel // Orazio,D1,21,2025,32
,2025-08-13,Good,100,,Frisee // Curlesi,D1,6,2025,32
,2025-08-13,Good,100,,Lettuce Head // Alkindus,D1,22,2025,32
,2025-08-13,Good,100,,Lettuce Head // Monte Carlo,D1,22,2025,32
,2025-08-13,Good,100,,Lettuce Head // Queen of Hearts,D1,22,2025,32
,2025-08-13,Good,100,,Lettuce Head // Truchas,D1,22,2025,32
,2025-08-05,Good,100,,Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,D1,23,2025,32
,2025-08-14,Good,100,,Radish Daikon Bulk // Artesia,D1,24,2025,32
,2025-08-14,Good,100,,Radish Daikon Bulk // Bora Nam,D1,24,2025,32
,2025-08-14,Good,100,,Radish Daikon Bulk // Red King 2,D1,24,2025,32
,2025-08-14,Good,100,,Radish Daikon Bulk // Red Meat,D1,24,2025,32
,2025-08-14,Good,100,,Turnip // Hakurei,D1,25,2025,32
,2025-08-14,Good,100,,Turnip // Hirosaki,D1,25,2025,32
,2025-08-14,Good,100,& 75' Scarlet Queen,Turnip Bulk // Purple Top,D1,26,2025,32
,2025-08-13,Good,100,,Bok Choy // Little Shanghai,E1,27,2025,32
,2025-08-13,Good,100,,Broccolini // BC1611,E1,28,2025,32
,2025-08-13,Good,100,,Broccolini // BC1611,E1,29,2025,32
,2025-08-13,Good,100,,Broccolini // BC1611,E1,30,2025,32
,2025-08-13,Good,100,,Kohlrabi // Kolibri,X3,32,2025,32
,2025-08-13,Good,100,,Kohlrabi Storage // Kossak,X3,33,2025,32
,2025-08-13,Good,100,,Radish Daikon Bulk // Artesia,Y1,1,2025,32
,2025-08-13,Good,100,,Radish Daikon Bulk // Bora Nam,Y1,2,2025,32
,2025-08-13,Good,100,,Radish Daikon Bulk // Red King 2,Y1,3,2025,32
,2024-09-04,Good,100,,Scallion // Nabechan,CAT2,3,2024,36
,2024-09-04,Good,100,,Kale Curly // Winterbor,HT1,6,2024,36
,2024-09-04,Good,100,,Kale Curly // Winterbor,HT1,7,2024,36
,2024-09-04,Good,100,,Kale Curly // Winterbor,HT1,8,2024,36
,2024-09-04,Good,100,,Kale Lacinato // Ebony,HT1,1,2024,36
,2024-09-04,Good,100,,Kale Lacinato // Ebony,HT1,2,2024,36
,2024-09-04,Good,100,,Kale Lacinato // Ebony,HT1,3,2024,36
,2024-09-04,Good,100,,Kale Lacinato // Ebony,HT1,4,2024,36
,2024-09-04,Good,100,,Kale Lacinato // Ebony,HT1,5,2024,36
,2024-09-11,Good,100,,Lettuce Mini Gem // Rosaine,CAT1,1,2024,37
,2024-09-11,Good,100,,Lettuce Mini Gem // Rosaine,CAT1,2,2024,37
,2024-09-11,Good,100,,Kale Russian // Siberian,HT2,1,2024,37
,2024-09-11,Good,100,,Kale Russian // Siberian,HT2,2,2024,37
,2024-09-18,Good,100,,Lettuce Mini Gem // Rosaine,CAT1,3,2024,38
,2024-09-18,Good,100,,Dandelion // Clio,CAT4,1,2024,38
,2024-09-18,Good,100,,Dandelion // Clio,CAT4,2,2024,38
,2024-09-18,Good,100,,Kale Russian // Siberian,HT2,4,2024,38
,2024-09-18,Good,100,,Kale Russian // Siberian,HT2,3,2024,38
,2024-09-18,Good,100,,Kale Russian // Siberian,HT2,5,2024,38
,2024-09-18,Good,100,,Arugula // Astro,HT3,1,2024,38
,2024-09-18,Good,100,,Bok Choy // Li Ren,HT3,7,2024,38
,2024-09-18,Good,100,,Greens Mix Cheap Frills // Cheap Frills,HT3,1,2024,38
,2024-09-18,Good,100,,Lettuce Mix SN // Green Inscised SN,HT3,2,2024,38
,2024-09-18,Good,100,,Lettuce Mix SN // Green Sweet Crisp,HT3,3,2024,38
,2024-09-18,Good,100,,Lettuce Mix SN // Red Sweet Crisp,HT3,5,2024,38
,2024-09-18,Good,100,,Lettuce Mix SN // Red Tango,HT3,6,2024,38
,2024-09-18,Good,100,,Mustard // Miike Giant,HT3,4,2024,38
,2024-09-18,Good,100,,Chard // Bright Lights,HT4,4,2024,38
